datetime,symbol,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2018-03-16 01:00:00,BINANCE:ETHUSDT,608.83,625.3,584.15,599.05,64720.20994,671.0350000000001,765.5,898.47,1005.05,429.52
2018-03-17 01:00:00,BINANCE:ETHUSDT,599.03,609.26,544.0,546.95,68022.4592,644.5,752.5,898.47,1005.05,495.67
2018-03-18 01:00:00,BINANCE:ETHUSDT,547.98,560.0,450.0,537.0,248817.226,597.5,679.44,908.265,1005.05,495.11
2018-03-19 01:00:00,BINANCE:ETHUSDT,537.39,560.0,515.8,556.88,184798.77062,595.25,673.745,909.6175,1005.05,502.68
2018-03-20 01:00:00,BINANCE:ETHUSDT,556.88,567.87,515.0,557.0,135424.94318,595.25,673.745,903.05,1005.05,533.88
2018-03-21 01:00:00,BINANCE:ETHUSDT,557.0,590.52,545.11,559.17,117019.17321,581.88,673.745,898.3700000000001,1005.05,511.46
2018-03-22 01:00:00,BINANCE:ETHUSDT,559.15,578.6,516.0,539.92,111106.19916,576.77,673.745,880.3599999999999,1005.05,502.56
2018-03-23 01:00:00,BINANCE:ETHUSDT,539.78,544.72,506.71,543.03,106400.91831,537.65,673.745,874.895,1005.05,526.09
2018-03-24 01:00:00,BINANCE:ETHUSDT,543.2,545.99,518.63,520.22,87710.78945,537.65,673.745,874.895,1005.05,568.14
2018-03-25 01:00:00,BINANCE:ETHUSDT,521.17,536.0,512.0,523.74,71903.1713,529.63,670.5,841.0725,1005.05,617.09
2018-03-26 02:00:00,BINANCE:ETHUSDT,523.95,527.67,465.56,485.0,151057.22944,520.26,664.98,828.7725,1005.05,604.87
2018-03-27 02:00:00,BINANCE:ETHUSDT,485.0,491.55,446.0,448.5,138188.76042,518.26,661.11,810.8675,1005.05,620.92
2018-03-28 02:00:00,BINANCE:ETHUSDT,448.5,466.0,440.14,446.67,89895.47885,515.3299999999999,655.9449999999999,808.02,1005.05,645.09
