datetime,symbol,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,fundingRate
2024-03-11 01:00:00,BINANCE:BTCUSDT,68955.88,72800.0,67024.96,72078.1,75292.825726,65902.5,61660.5,46304.104999999996,45299.354999999996,68896.0,0.0
2024-03-12 01:00:00,BINANCE:BTCUSDT,72078.1,73000.0,68620.82,71452.01,68783.546691,66002.5,61760.5,46744.06,45685.81,69360.39,0.0
2024-03-13 01:00:00,BINANCE:BTCUSDT,71452.0,73650.25,71333.31,73072.41,52659.711647,66327.625,62085.625,47129.835,45685.81,71620.0,0.0
2024-03-14 01:00:00,BINANCE:BTCUSDT,73072.4,73777.0,68555.0,71388.94,71757.628746,68278.07,62149.0,47357.59,45685.81,69146.0,0.0
2024-03-15 01:00:00,BINANCE:BTCUSDT,71388.94,72419.71,65600.0,69499.85,103334.03546,69664.0,62149.0,47979.3575,45685.81,70631.08,0.0
2024-03-16 01:00:00,BINANCE:BTCUSDT,69499.84,70043.0,64780.0,65300.63,55926.95336,69278.5,62149.0,48185.1,45685.81,70006.23,0.0
2024-03-17 01:00:00,BINANCE:BTCUSDT,65300.64,68904.4,64533.0,68393.48,49742.21589,69155.0,62149.0,48375.6325,45770.0,67116.52,0.0
2024-03-18 01:00:00,BINANCE:BTCUSDT,68393.47,68956.0,66565.2,67609.99,55691.08088,69155.0,62149.0,48916.322499999995,45770.0,63924.51,0.0
2024-03-19 01:00:00,BINANCE:BTCUSDT,67610.0,68124.11,61555.0,61937.4,101005.32487,67666.0,62149.0,49203.955,45770.0,65661.84,0.0
2024-03-20 01:00:00,BINANCE:BTCUSDT,61937.41,68100.0,60775.0,67840.51,90420.58592,67276.0,62181.0,49573.97,45770.0,63419.99,0.0
2024-03-21 01:00:00,BINANCE:BTCUSDT,67840.51,68240.47,64529.01,65501.27,53357.48002,67276.0,62339.22,49593.82,45770.0,63793.39,0.0
2024-03-22 01:00:00,BINANCE:BTCUSDT,65501.28,66649.62,62260.0,63796.64,51482.37821,67276.0,62339.22,49593.82,45770.0,61277.37,0.0
2024-03-23 01:00:00,BINANCE:BTCUSDT,63796.64,65999.0,63000.0,63990.01,26410.11409,66597.35500000001,64113.565,50556.32,46732.5,63470.08,0.0
2024-03-24 01:00:00,BINANCE:BTCUSDT,63990.02,67628.69,63772.29,67209.99,31395.78015,65409.0,65234.425,51979.825,48071.575,63818.01,0.0
2024-03-25 01:00:00,BINANCE:BTCUSDT,67210.0,71150.0,66385.06,69880.01,53431.14486,65962.5,66391.0,55185.75,51277.5,64940.59,0.0
2024-03-26 01:00:00,BINANCE:BTCUSDT,69880.0,71561.1,69280.0,69988.0,38934.38417,66168.05,66391.0,55185.75,51277.5,64941.15,0.0
2024-03-27 01:00:00,BINANCE:BTCUSDT,69987.99,71769.54,68359.18,69469.99,49119.35685,66272.26999999999,66391.0,55194.775,51277.5,66819.32,0.0
2024-03-28 01:00:00,BINANCE:BTCUSDT,69469.99,71552.06,68903.62,70780.6,35439.03239,66272.26999999999,66391.0,55273.75,51277.5,66414.0,0.0
2024-03-29 01:00:00,BINANCE:BTCUSDT,70780.6,70916.16,69009.0,69850.54,25445.08353,67014.76999999999,66391.0,55343.25,51277.5,64289.59,0.0
2024-03-30 01:00:00,BINANCE:BTCUSDT,69850.53,70321.1,69540.0,69582.18,13644.61142,67014.76999999999,66391.0,58057.635,53527.0,64498.34,0.0
2024-03-31 01:00:00,BINANCE:BTCUSDT,69582.17,71366.0,69562.99,71280.01,19396.34433,67384.76999999999,67276.0,58535.89,53777.5,63770.01,0.0
2024-04-01 02:00:00,BINANCE:BTCUSDT,71280.0,71288.23,68062.86,69649.8,41445.32039,67770.915,67276.0,59812.5325,53777.5,63461.98,0.0
2024-04-02 02:00:00,BINANCE:BTCUSDT,69649.81,69674.23,64550.0,65463.99,71799.82793,68159.76999999999,67276.0,60562.2525,53777.5,63118.62,0.0
2024-04-03 02:00:00,BINANCE:BTCUSDT,65463.99,66903.63,64493.07,65963.28,39887.21778,68131.305,67276.0,61673.7525,54272.5,63866.0,0.0
2024-04-04 02:00:00,BINANCE:BTCUSDT,65963.27,69309.91,65064.52,68487.79,41510.48453,68131.305,67276.0,61821.4875,54272.5,60672.0,0.0
2024-04-05 02:00:00,BINANCE:BTCUSDT,68487.8,68756.67,65952.56,67820.62,37915.23073,68022.565,67276.0,62052.5025,54272.5,58364.97,0.0
2024-04-06 02:00:00,BINANCE:BTCUSDT,67820.63,69692.0,67447.83,68896.0,20134.28919,67929.535,67276.0,63781.5,55677.5,59060.61,0.0
2024-04-07 02:00:00,BINANCE:BTCUSDT,68896.0,70326.29,68824.0,69360.39,21534.74433,67929.535,67276.0,63881.5,55777.5,62882.01,0.0
2024-04-08 02:00:00,BINANCE:BTCUSDT,69360.38,72797.99,69043.24,71620.0,45723.87624,68645.53,67276.0,64206.625,56102.625,63892.04,0.0
2024-04-09 02:00:00,BINANCE:BTCUSDT,71620.0,71758.19,68210.0,69146.0,39293.90242,68645.53,66786.495,65213.535,56166.0,64012.0,0.0
2024-04-10 02:00:00,BINANCE:BTCUSDT,69146.0,71172.08,67518.0,70631.08,42006.02377,68645.53,66786.495,65906.5,56630.595,63165.19,0.0
2024-04-11 02:00:00,BINANCE:BTCUSDT,70631.08,71305.89,69567.21,70006.23,31917.25595,68645.53,66786.495,65713.75,56663.5,62312.08,0.0
2024-04-12 02:00:00,BINANCE:BTCUSDT,70006.22,71227.46,65086.86,67116.52,56072.86229,68931.255,66786.495,65652.0,56799.759999999995,61193.03,0.0
2024-04-13 02:00:00,BINANCE:BTCUSDT,67116.52,67929.0,60660.57,63924.51,71395.22019,66729.28,66729.28,65652.0,57585.67,63074.01,0.0
2024-04-14 02:00:00,BINANCE:BTCUSDT,63924.52,65840.0,62134.0,65661.84,61599.17818,66729.28,66729.28,64907.5,57698.905,60799.99,0.0
2024-04-15 02:00:00,BINANCE:BTCUSDT,65661.85,66867.07,62274.4,63419.99,52389.53069,66729.28,66729.28,64728.5,57790.94,60825.99,0.0
2024-04-16 02:00:00,BINANCE:BTCUSDT,63419.99,64365.0,61600.0,63793.39,53435.29331,66729.28,66729.28,64807.61,57830.64,61483.99,0.0
